,"('CSR Strategy Score',)","('Community Score',)","('ESG Controversies Score',)","('Emissions Score',)","('Environmental Innovation Score',)","('Human Rights Score',)","('Product Responsibility Score',)","('Resource Use Score',)","('Shareholders Score',)","('Workforce Score',)"
CSR Strategy Score,-16.82602397,,,,,,,,,
Community Score,,-23.85854231,,,,,,,,
ESG Controversies Score,,,0.243759726,,,,,,,
Emissions Score,,,,-0.954940646,,,,,,
Environmental Innovation Score,,,,,9.981997789,,,,,
Human Rights Score,,,,,,-25.13461171,,,,
Product Responsibility Score,,,,,,,-10.72019873,,,
Resource Use Score,,,,,,,,-23.27282473,,
Shareholders Score,,,,,,,,,-12.31683019,
Workforce Score,,,,,,,,,,-14.96808862
